ID,command,encrypted_cmd
1068,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1072,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1076,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1080,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1084,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1088,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1092,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1096,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1100,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1104,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1108,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1112,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1116,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1120,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1124,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1128,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1132,{'axes': {'0': 0.003814697265625, '1': 0.030242919921875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1c7bb0110651507a8631ed617be4282633e9a88711dceb8be62ff01034b0f5129f1c5fda671e230dc67b3cc270
1136,{'axes': {'0': -1.0, '1': -0.172882080078125, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3ea18158e67571a75a1503f8eebbbeb4074538a594e6a4fdd2737d65e3f9788d60b096c4da66935f69b2ff7ba8
1136,{'axes': {'0': -1.0, '1': -0.172882080078125, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3ea18158e67571a75a1503f8eebbbeb4074538a594e6a4fdd2737d65e3f9788d60b096c4da66935f69b2ff7ba8
1140,{'axes': {'0': -0.2332763671875, '1': -0.089080810546875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},2e220c024ad9619ffb7b43446defeed346c5145bfb42c8c0cc5478c852f7953cb97531211d84e1ab2e9a04c7f8
1140,{'axes': {'0': -0.2332763671875, '1': -0.089080810546875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},2e220c024ad9619ffb7b43446defeed346c5145bfb42c8c0cc5478c852f7953cb97531211d84e1ab2e9a04c7f8
1144,{'axes': {'0': -0.00079345703125, '1': 0.02752685546875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},5ea58e97a091fc0a91651a06f1191f37d3ba3bbd437f3b965895c8d505c2ef7405a740c3e5dce12f4515ddba34
1144,{'axes': {'0': -0.00079345703125, '1': 0.02752685546875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},5ea58e97a091fc0a91651a06f1191f37d3ba3bbd437f3b965895c8d505c2ef7405a740c3e5dce12f4515ddba34
1148,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1148,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1152,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1156,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1160,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1165,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1168,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1172,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1177,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1181,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1185,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1189,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1193,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1198,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1201,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1205,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1210,{'axes': {'0': -0.00079345703125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},3a4260f396b690a02a4ee7ef03b3fbe37024da3bb5bdfb7fd97404aaddc45a543d1d3c404c3640a322e6518064
1214,{'axes': {'0': 0.00213623046875, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0c59841f5f944cb9b3f6c1151ab57604f34099243d3e10e7ed0dc1d9ae665b5a9782c9ee192306fb79f8ba5a71
1214,{'axes': {'0': 0.00213623046875, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0c59841f5f944cb9b3f6c1151ab57604f34099243d3e10e7ed0dc1d9ae665b5a9782c9ee192306fb79f8ba5a71
1218,{'axes': {'0': 0.00213623046875, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0c59841f5f944cb9b3f6c1151ab57604f34099243d3e10e7ed0dc1d9ae665b5a9782c9ee192306fb79f8ba5a71
1223,{'axes': {'0': 0.00213623046875, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0c59841f5f944cb9b3f6c1151ab57604f34099243d3e10e7ed0dc1d9ae665b5a9782c9ee192306fb79f8ba5a71
1227,{'axes': {'0': 0.00213623046875, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0c59841f5f944cb9b3f6c1151ab57604f34099243d3e10e7ed0dc1d9ae665b5a9782c9ee192306fb79f8ba5a71
1231,{'axes': {'0': 0.00213623046875, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},0c59841f5f944cb9b3f6c1151ab57604f34099243d3e10e7ed0dc1d9ae665b5a9782c9ee192306fb79f8ba5a71
1235,{'axes': {'0': 0.01898193359375, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},41d61dfece3747584d37fe58e1136e0dd44fae257898537cdc6e2ec9c5c10982671f255c01f9491bfe207c9fee
1235,{'axes': {'0': 0.01898193359375, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},41d61dfece3747584d37fe58e1136e0dd44fae257898537cdc6e2ec9c5c10982671f255c01f9491bfe207c9fee
1239,{'axes': {'0': 0.024932861328125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},2eab3d49fbbd57a6c55f1452a3abfb494eb1a86c9ee0156ebb587e1814bb22da4c26b645bbf40164dc25b6c8c7
1239,{'axes': {'0': 0.024932861328125, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},2eab3d49fbbd57a6c55f1452a3abfb494eb1a86c9ee0156ebb587e1814bb22da4c26b645bbf40164dc25b6c8c7
1243,{'axes': {'0': 0.030853271484375, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7e3d8f691e6bb224895d9c6f4bb7d1c0534ffa3c58b4e74319f4445142ce01c32b02a662d1085730fc115f8a7a
1243,{'axes': {'0': 0.030853271484375, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7e3d8f691e6bb224895d9c6f4bb7d1c0534ffa3c58b4e74319f4445142ce01c32b02a662d1085730fc115f8a7a
1247,{'axes': {'0': 0.030853271484375, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7e3d8f691e6bb224895d9c6f4bb7d1c0534ffa3c58b4e74319f4445142ce01c32b02a662d1085730fc115f8a7a
1251,{'axes': {'0': 0.030853271484375, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7e3d8f691e6bb224895d9c6f4bb7d1c0534ffa3c58b4e74319f4445142ce01c32b02a662d1085730fc115f8a7a
1255,{'axes': {'0': 0.030853271484375, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7e3d8f691e6bb224895d9c6f4bb7d1c0534ffa3c58b4e74319f4445142ce01c32b02a662d1085730fc115f8a7a
1259,{'axes': {'0': 0.030853271484375, '1': 0.0306396484375, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},7e3d8f691e6bb224895d9c6f4bb7d1c0534ffa3c58b4e74319f4445142ce01c32b02a662d1085730fc115f8a7a
1264,{'axes': {'0': 0.03668212890625, '1': 0.03338623046875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b865e5281407a14e3e7806ddeb41ba5264031ae6a498422fd8bfbb2de082eb599ff430084b6def0a283433dd17
1264,{'axes': {'0': 0.03668212890625, '1': 0.03338623046875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b865e5281407a14e3e7806ddeb41ba5264031ae6a498422fd8bfbb2de082eb599ff430084b6def0a283433dd17
1268,{'axes': {'0': 0.03668212890625, '1': 0.03338623046875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b865e5281407a14e3e7806ddeb41ba5264031ae6a498422fd8bfbb2de082eb599ff430084b6def0a283433dd17
1272,{'axes': {'0': 0.03668212890625, '1': 0.03338623046875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b865e5281407a14e3e7806ddeb41ba5264031ae6a498422fd8bfbb2de082eb599ff430084b6def0a283433dd17
1276,{'axes': {'0': 0.03668212890625, '1': 0.03338623046875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},b865e5281407a14e3e7806ddeb41ba5264031ae6a498422fd8bfbb2de082eb599ff430084b6def0a283433dd17
1281,{'axes': {'0': 0.039520263671875, '1': 0.03338623046875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9e8390f92f9fd3bb555abb7bf2190e3f109182284af780548f1182eca83dbddec2b8d5d84cdfa6fab12001e01b
1281,{'axes': {'0': 0.039520263671875, '1': 0.03338623046875, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},9e8390f92f9fd3bb555abb7bf2190e3f109182284af780548f1182eca83dbddec2b8d5d84cdfa6fab12001e01b
1285,{'axes': {'0': 0.042449951171875, '1': 0.027984619140625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1a0f19a6a2662283bd189d04cbcba8574c51981eddf5ea6648a02cdc8af29820f3914513ea869c6553bc79deb6
1285,{'axes': {'0': 0.042449951171875, '1': 0.027984619140625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1a0f19a6a2662283bd189d04cbcba8574c51981eddf5ea6648a02cdc8af29820f3914513ea869c6553bc79deb6
1289,{'axes': {'0': 0.042449951171875, '1': -0.001373291015625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},cc11317d5a07cee7ad8903acc47d5e20936bd15e475536c54ff21f6b3155b1de7cd7850ca8100cd776a1b93dba
1289,{'axes': {'0': 0.042449951171875, '1': -0.001373291015625, '2': -1.0, '3': 0.06011962890625, '4': 0.0284423828125, '5': -1.0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},cc11317d5a07cee7ad8903acc47d5e20936bd15e475536c54ff21f6b3155b1de7cd7850ca8100cd776a1b93dba
